,rekt_link,project,relevant addresses
10,https://rekt.news/mirror-rekt/,mirror,"['https://etherscan.io/address/0x3C5c2F4bCeC51a36494682f91Dbc6cA7c63B514C', 'https://etherscan.io/address/0x3C5c2F4bCeC51a36494682f91Dbc6cA7c63B514C']"
11,https://rekt.news/fei-rari-rekt/,fei,"['https://etherscan.io/tx/0xab486012f21be741c9e674ffda227e30518e8a1e37a5f1d58d0b0d41f6e76530', 'https://etherscan.io/address/0x6162759edad730152f0df8115c698a42e666157f', 'https://etherscan.io/address/0xE39f3C40966DF56c69AA508D8AD459E77B8a2bc1', 'https://etherscan.io/address/0x32075bad9050d4767018084f0cb87b3182d36c45', 'https://arbiscan.io/tx/0x3212d091792f81f18a31aab753de6b3128d79dcb5e8392167249595f813203ef', 'https://etherscan.io/tx/0xcbe38d148c0c3ebe486d49a3bdf399650be794716390135c0d2f3aa459a4a4cd', 'https://etherscan.io/address/0x3C5c2F4bCeC51a36494682f91Dbc6cA7c63B514C', 'https://etherscan.io/address/0x3C5c2F4bCeC51a36494682f91Dbc6cA7c63B514C']"
12,https://rekt.news/qubit-rekt/,qubit,"['https://etherscan.io/address/0xd01ae1a708614948b2b5e0b7ab5be6afa01325c7', 'https://etherscan.io/tx/0x8d2e9fd13c3e3f59eac17ff55bb0a0b10eee965a2e768e60832b1b3d5b80ebfb', 'https://bscscan.com/tx/0x50946e3e4ccb7d39f3512b7ecb75df66e6868b9af0eee8a7e4b61ef8a459518e', 'https://bscscan.com/address/0xd01ae1a708614948b2b5e0b7ab5be6afa01325c7', 'https://etherscan.io/address/0x3C5c2F4bCeC51a36494682f91Dbc6cA7c63B514C', 'https://etherscan.io/address/0x3C5c2F4bCeC51a36494682f91Dbc6cA7c63B514C']"
13,https://rekt.news/ascendex-rekt/,ascendex,"['https://etherscan.io/address/0x2c6900b24221de2b4a45c8c89482fff96ffb7e55', 'https://bscscan.com/address/0x2C6900b24221dE2B4A45c8c89482fFF96FFB7E55', 'https://polygonscan.com/address/0x2C6900b24221dE2B4A45c8c89482fFF96FFB7E55', 'https://etherscan.io/address/0x3C5c2F4bCeC51a36494682f91Dbc6cA7c63B514C', 'https://etherscan.io/address/0x3C5c2F4bCeC51a36494682f91Dbc6cA7c63B514C']"
14,https://rekt.news/easyfi-rekt/,easyfi,"['https://etherscan.io/address/0x83a2EB63B6Cc296529468Afa85DbDe4A469d8B37#tokentxns', 'https://etherscan.io/address/0x3C5c2F4bCeC51a36494682f91Dbc6cA7c63B514C', 'https://etherscan.io/address/0x3C5c2F4bCeC51a36494682f91Dbc6cA7c63B514C']"
15,https://rekt.news/uranium-rekt/,uranium,"['https://etherscan.io/address/0x3C5c2F4bCeC51a36494682f91Dbc6cA7c63B514C', 'https://etherscan.io/address/0x3C5c2F4bCeC51a36494682f91Dbc6cA7c63B514C']"
16,https://rekt.news/bzx-rekt/,bzx,"['https://polygonscan.com/address/0xafad9352eb6bcd085dd68268d353d0ed2571af89', 'https://bscscan.com/address/0x0ACC0e5faA09Cb1976237c3a9aF3D3d4b2f35FA5', 'https://bscscan.com/address/0x74487eed1e67f4787e8c0570e8d5d168a05254d4', 'https://bscscan.com/address/0x967bb571f0fc9ee79c892abf9f99233aa1737e31', 'https://etherscan.io/address/0x74487eEd1E67F4787E8C0570E8D5d168a05254D4', 'https://polygonscan.com/tokenapprovalchecker', 'https://bscscan.com/tokenapprovalchecker', 'https://etherscan.io/tx/0xee445ec9a098e9b8db744a5677422515602dc8dfb35ea60865b65c73b1704dfc', 'https://etherscan.io/tx/0xffb56ebef55a9bd4e963557bcc97594ceff97207b2aa680f7d2b9c9615cedcba', 'https://etherscan.io/tx/0x099aac0b0d308b7c17ea62bafbec06760cb044fb049e80ea72a810d170eafed0', 'https://polygonscan.com/tx/0x8eebe7f20a89c6a63b45ed870d3f98ad5c4dc19dc7bf37ee6e050069aa48693c', 'https://etherscan.io/address/0x3C5c2F4bCeC51a36494682f91Dbc6cA7c63B514C', 'https://etherscan.io/address/0x3C5c2F4bCeC51a36494682f91Dbc6cA7c63B514C']"
17,https://rekt.news/cashio-rekt/,cashio,"['https://solscan.io/tx/3t1zqtKk4CgCk5ZDZMGSwdfvvWPekyQ5r8Prhk9MiR5Sw8vujCnFBncAuFCttw3oXzacMRH9ud3VY5virUY2Z39y', 'https://solscan.io/tx/2X1TKidhbocN5HRLVWRUk8W1YSQH9b6VH7biAm1ad5jwTZNrPSxajz2cyorrvqtUbWUAmCb52Yqk8VxYF2P6H5tP', 'https://solscan.io/tx/4g5okypEDK9xdDwcootYz86uzTXm41VX7WosiJETGisiG2XpvNgT59djDiD2vwstQtCFF9bqSnViYJGF9Z9QrUvV', 'https://solscan.io/tx/pjUgAeUfWaSSJuw2Cq1cQ9gHNWs8jkxJMtHqVAMuwhg3Uk9LN9Y2obfwt6Qm8bztg56xidWBMytzmqyWzvbsrwH', 'https://etherscan.io/address/0x86766247ba3405c5f15f06b895294200809e9cfb', 'https://solscan.io/account/6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw', 'https://etherscan.io/tx/0xa8394d2e55042f84d096c72dd1075fa2648faf88e248c7992273b4d50a6a647b', 'https://etherscan.io/address/0x86766247ba3405c5f15f06b895294200809e9cfb', 'https://etherscan.io/address/0x3C5c2F4bCeC51a36494682f91Dbc6cA7c63B514C', 'https://etherscan.io/address/0x3C5c2F4bCeC51a36494682f91Dbc6cA7c63B514C']"
18,https://rekt.news/pancakebunny-rekt/,pancakebunny,"['https://bscscan.com/tx/0x897c2de73dd55d7701e1b69ffb3a17b0f4801ced88b0c75fe1551c5fcce6a979', 'https://etherscan.io/address/0x3C5c2F4bCeC51a36494682f91Dbc6cA7c63B514C', 'https://etherscan.io/address/0x3C5c2F4bCeC51a36494682f91Dbc6cA7c63B514C']"
19,https://rekt.news/epic-hack-homie/,epic,"['https://etherscan.io/tokenholdings?a=0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23', 'https://etherscan.io/address/0x00600423c03ec4b46f9b8a28c66d42bdd1b19c36', 'https://etherscan.io/address/0xf519e276958c3ef2dffd9b6b2d87d26859526505', 'https://etherscan.io/tx/0xc6eb6440d4f2c8b649ee7e647e90ea3a354e0bb300540c95d2464553f6b6cff8', 'https://etherscan.io/address/0x3C5c2F4bCeC51a36494682f91Dbc6cA7c63B514C', 'https://etherscan.io/address/0x3C5c2F4bCeC51a36494682f91Dbc6cA7c63B514C']"
20,https://rekt.news/alpha-finance-rekt/,alpha,"['https://etherscan.io/address/0x5cfd0cddf989959a6a6c3ad985ce324460d46dfd', 'https://etherscan.io/tx/0x2b419173c1f116e94e43afed15a46e3b3a109e118aba166fcca0ba583f686d23', 'https://etherscan.io/tx/0x4441eefe434fbef9d9b3acb169e35eb7b3958763b74c5617b39034decd4dd3ad', 'https://etherscan.io/tx/0xcc57ac77dc3953de7832162ea4cd925970e064ead3f6861ee40076aca8e7e571', 'https://etherscan.io/tx/0xf31ee9d9e83db3592601b854fe4f8b872cecd0ea2a3247c475eea8062a20dd41', 'https://etherscan.io/tx/0x98f623af655f1e27e1c04ffe0bc8c9bbdb35d39999913bedfe712d4058c67c0e', 'https://etherscan.io/tx/0x2e387620bb31c067efc878346742637d650843210596e770d4e2d601de5409e3', 'https://etherscan.io/tx/0x64de824a7aa339ff41b1487194ca634a9ce35a32c65f4e78eb3893cc183532a4', 'https://etherscan.io/tx/0x7eb2436eedd39c8865fcc1e51ae4a245e89765f4c64a13200c623f676b3912f9', 'https://etherscan.io/tx/0xd7a91172c3fd09acb75a9447189e1178ae70517698f249b84062681f43f0e26e', 'https://etherscan.io/tx/0xacec6ddb7db4baa66c0fb6289c25a833d93d2d9eb4fbe9a8d8495e5bfa24ba57', 'https://etherscan.io/tx/0x745ddedf268f60ea4a038991d46b33b7a1d4e5a9ff2767cdba2d3af69f43eb1b', 'https://etherscan.io/tx/0xc60bc6ab561af2a19ebc9e57b44b21774e489bb07f75cb367d69841b372fe896', 'https://etherscan.io/address/0x3C5c2F4bCeC51a36494682f91Dbc6cA7c63B514C', 'https://etherscan.io/address/0x3C5c2F4bCeC51a36494682f91Dbc6cA7c63B514C']"
21,https://rekt.news/veefinance-rekt/,veefinance,"['https://etherscan.io/address/0xeeee458c3a5eaafcfd68681d405fb55ef80595ba', 'https://etherscan.io/address/0xeeee458c3a5eaafcfd68681d405fb55ef80595ba', 'https://etherscan.io/tx/0x1faa95fa7a542b34563a387d63c1c61d89e4a5e30848567d1e097753b3f7713f', 'https://etherscan.io/tx/0x3e25d185a72a62c9e0d6bfa58b7a917978674b8aa97ecce3f6caa2ff2c59f3c2', 'https://etherscan.io/tx/0x34b1765ee7778ada497af55856e52f2ce9259918ba56ae3d9c9fd06685c4e8e8', 'https://etherscan.io/tx/0x8af5730d2a4f3e2eb3e229f79d7ce6b6ee946fd228f182c6c3a70651acb98669', 'https://etherscan.io/tx/0x83c3ff56ae9cfdae1679abd69c0be9070fdaf646e04b23572e0bf3ecbbee961a', 'https://etherscan.io/tx/0x066f2970fee658c063bc8e909f1fbf6d583b62704aab022fbd060b1b17ffc99f', 'https://etherscan.io/address/0x3C5c2F4bCeC51a36494682f91Dbc6cA7c63B514C', 'https://etherscan.io/address/0x3C5c2F4bCeC51a36494682f91Dbc6cA7c63B514C']"
22,https://rekt.news/cryptocom-rekt/,cryptocom,"['https://etherscan.io/address/0x6e1218c55f1acb588fc5e55b721f1183d7d29d3d', 'https://etherscan.io/address/0x3C5c2F4bCeC51a36494682f91Dbc6cA7c63B514C', 'https://etherscan.io/address/0x3C5c2F4bCeC51a36494682f91Dbc6cA7c63B514C']"
23,https://rekt.news/meerkat-finance-bsc-rekt/,meerkat,"['https://bscscan.com/', 'https://bscscan.com/tx/0xfcf48681e382e9f9cc1d6a64ff30487306f6b869924c6594075fcc86b3b21f5d', 'https://bscscan.com/address/0x49509a31898452529a69a64156ab66167e755dfb', 'https://bscscan.com/address/0x3586a7d9904e9f350bb7828dff05bf46a18bb271', 'https://bscscan.com/tx/0x063970f8625f250101a7da8abf914748cf8eaaaa9458041f1928501accfe5d6c', 'https://bscscan.com/tx/0xf19fa4bcff4adaebeddd28c851458ba0f01ffedd52b62df56ace94e7c8842553', 'https://etherscan.io/address/0x3C5c2F4bCeC51a36494682f91Dbc6cA7c63B514C', 'https://etherscan.io/address/0x3C5c2F4bCeC51a36494682f91Dbc6cA7c63B514C']"
